provnum,STATE,overall_rating,survey_rating,quality_rating,staffing_rating,WEIGHTED_ALL_CYCLES_SCORE,SFF
15009,AL,5,5,3,5,12,N
15010,AL,3,2,4,4,34.667,N
15012,AL,4,4,3,3,14.667,N
15014,AL,3,2,2,4,38,N
15015,AL,3,2,2,4,33.333,N
15016,AL,3,2,4,4,33.333,N
15019,AL,4,3,3,4,22,N
15023,AL,3,2,3,4,34.667,N
15024,AL,5,3,5,4,30.667,N
15027,AL,4,2,5,4,38.333,N
15028,AL,4,4,2,3,20,N
15031,AL,2,1,2,4,89.333,N
15032,AL,1,1,2,3,56,N
15034,AL,3,2,2,4,32,N
15035,AL,4,4,3,4,14,N
15037,AL,1,1,4,2,324.5,Y
15040,AL,3,3,3,,23.333,N
15042,AL,5,4,5,4,18.667,N
15043,AL,3,2,5,3,42.667,N
15044,AL,4,3,4,4,28,N
15045,AL,2,1,5,4,78.167,N
15047,AL,2,2,3,3,42.667,N
15048,AL,2,2,1,4,47.333,N
15049,AL,3,3,1,4,24.667,N
15050,AL,4,3,5,3,22,N
15053,AL,2,1,2,5,74.5,N
15060,AL,1,1,4,3,119,N
15063,AL,3,3,2,3,22,N
15065,AL,2,1,4,4,52.667,N
15066,AL,5,5,4,5,9.333,N
15067,AL,3,3,2,3,28.667,N
15071,AL,4,5,1,3,9.333,N
15073,AL,5,5,5,4,10.667,N
15075,AL,1,1,2,2,51.333,N
15076,AL,2,1,5,4,86,N
15083,AL,2,1,5,3,97.333,N
15084,AL,5,3,5,4,29.333,N
15089,AL,5,5,5,4,5.333,N
15091,AL,3,2,5,3,43.333,N
15097,AL,4,2,5,5,33.333,N
15098,AL,4,4,3,4,18.667,N
15100,AL,4,3,4,4,25.333,N
15101,AL,5,4,5,4,22,N
15103,AL,1,1,4,3,48,N
15104,AL,3,2,5,3,44,N
15109,AL,1,1,1,4,52.667,N
15111,AL,3,2,3,4,42,N
15112,AL,5,4,5,4,15.333,N
15113,AL,1,1,4,3,69.333,N
15114,AL,4,3,2,5,25.333,N
15115,AL,2,2,2,3,32.667,N
15116,AL,2,1,4,4,56,N
15117,AL,2,1,5,3,52,N
15119,AL,1,1,4,3,198,N
15120,AL,4,3,3,4,25.333,N
15121,AL,1,1,4,3,56.667,N
15123,AL,4,4,4,4,13.333,N
15124,AL,5,5,4,4,13.333,N
15126,AL,4,3,4,5,30,N
15127,AL,4,3,5,3,25.333,N
15128,AL,4,3,3,4,30.167,N
15129,AL,5,4,5,3,20,N
15132,AL,2,2,2,3,32.667,N
15133,AL,3,3,3,3,22.667,N
15134,AL,1,1,3,1,49.667,N
15135,AL,5,5,4,4,13.333,N
15136,AL,5,3,5,5,23.333,N
15137,AL,5,5,5,5,5.333,N
15138,AL,4,3,5,2,29.333,N
15139,AL,5,3,5,4,32.667,N
15141,AL,5,4,4,5,19.333,N
15142,AL,5,5,4,3,13.333,N
15143,AL,4,3,2,4,32,N
15144,AL,2,1,2,5,208.167,N
15145,AL,4,4,2,2,16.667,N
15147,AL,2,1,5,3,60.667,N
15148,AL,4,4,3,3,14.667,N
15149,AL,4,4,3,4,17.333,N
15150,AL,4,2,5,4,34,N
15151,AL,3,2,2,4,42.667,N
15152,AL,5,5,5,4,12.667,N
15153,AL,2,2,1,4,37.333,N
15154,AL,2,3,1,3,21.333,N
15155,AL,4,4,2,4,14.667,N
15156,AL,4,4,4,4,19.333,N
15157,AL,4,3,4,4,30,N
15158,AL,3,2,3,4,37.333,N
15159,AL,3,2,5,2,32.667,N
15160,AL,5,4,5,4,18.667,N
15162,AL,4,2,5,4,32.667,N
15163,AL,4,3,4,5,25.333,N
15164,AL,4,4,3,2,17.333,N
15166,AL,2,1,2,4,178.667,N
15167,AL,4,4,3,4,18.667,N
15168,AL,5,5,4,4,10.667,N
15169,AL,3,2,5,3,45.667,N
15171,AL,3,2,5,3,36.667,N
15174,AL,3,2,2,4,40,N
15175,AL,3,2,2,4,41.333,N
15176,AL,2,2,4,3,33.333,N
15177,AL,5,5,5,3,11.333,N
15178,AL,2,1,5,3,47.333,N
15179,AL,1,1,1,5,229.667,N
15180,AL,4,3,4,4,23.333,N
15182,AL,5,4,5,5,15.333,N
15183,AL,1,2,3,1,42.667,N
15184,AL,5,4,5,3,20,N
15186,AL,4,3,4,4,31.333,N
15187,AL,5,5,3,4,11.333,N
15188,AL,5,5,5,4,8.667,N
15189,AL,1,1,1,3,67.333,N
15191,AL,2,2,4,3,44.667,N
15192,AL,3,2,4,5,36.667,N
15193,AL,4,4,3,3,18,N
15194,AL,5,5,5,3,10.667,N
15195,AL,4,2,5,4,41.333,N
15196,AL,2,2,4,3,32,N
15197,AL,4,2,5,4,37.333,N
15199,AL,2,2,4,3,38.667,N
15200,AL,2,1,2,4,48.667,N
15201,AL,4,2,5,5,42,N
15202,AL,5,4,5,4,19.333,N
15203,AL,2,1,4,5,124.167,N
15204,AL,4,4,4,4,13.333,N
15206,AL,5,4,5,3,15.333,N
15207,AL,4,4,1,5,20.667,N
15208,AL,5,4,5,5,13.333,N
15209,AL,2,2,3,3,46.667,N
15210,AL,5,4,5,4,14,N
15211,AL,2,1,5,4,49.333,N
15212,AL,4,3,2,4,24,N
15213,AL,4,3,4,4,28,N
15214,AL,2,1,3,4,64,N
15215,AL,1,1,1,3,63.333,N
15216,AL,4,2,5,4,38,N
15217,AL,4,3,5,2,22,N
15220,AL,5,5,4,3,2.667,N
15221,AL,3,2,4,4,42.667,N
15222,AL,2,2,3,2,43.333,N
15223,AL,5,5,5,3,11.333,N
15225,AL,5,5,3,4,13.333,N
15227,AL,4,4,2,4,15.333,N
15228,AL,2,1,5,4,68.667,N
15303,AL,1,1,4,3,66,N
15315,AL,5,4,2,5,16,N
15320,AL,4,3,3,4,30.667,N
15321,AL,2,2,5,1,33.333,N
15322,AL,5,5,5,4,1.333,N
15326,AL,2,2,3,2,35.333,N
15330,AL,4,3,2,4,28,N
15331,AL,3,4,1,3,14.667,N
15336,AL,4,3,5,3,22,N
15361,AL,4,3,5,3,24,N
15369,AL,3,2,4,4,39.333,N
15371,AL,3,2,2,4,37.333,N
15372,AL,4,4,3,4,20,N
15373,AL,2,1,4,4,58.167,N
15374,AL,2,2,4,3,35.333,N
15375,AL,2,1,5,3,174,N
15376,AL,4,4,3,3,19.333,N
15378,AL,5,4,5,4,20,N
15379,AL,1,1,2,3,63.333,N
15381,AL,4,4,3,4,20,N
15382,AL,2,1,4,4,206.5,N
15383,AL,2,1,4,4,134.667,N
15386,AL,4,4,3,3,18,N
15388,AL,3,2,5,3,37.333,N
15390,AL,5,4,5,2,15.333,N
15391,AL,3,2,5,3,45.333,N
15392,AL,3,4,1,3,17.333,N
15393,AL,4,4,3,3,20,N
15396,AL,5,4,5,3,18,N
15397,AL,3,2,5,3,45.333,N
15398,AL,3,2,2,4,36.667,N
15400,AL,4,3,2,4,25.333,N
15402,AL,5,4,5,3,14,N
15403,AL,3,2,4,4,38.667,N
15404,AL,3,3,1,4,27.333,N
15406,AL,1,1,1,3,50.667,N
15407,AL,3,2,4,4,31.333,N
15408,AL,3,2,3,4,46.667,N
15410,AL,5,5,2,5,2.667,N
15411,AL,5,4,4,5,20,N
15413,AL,4,4,4,4,16.667,N
15414,AL,4,3,5,2,30,N
15415,AL,2,2,1,4,33.167,N
15416,AL,5,5,5,4,12,N
15417,AL,4,4,3,4,14,N
15419,AL,5,4,5,3,17.333,N
15420,AL,3,2,4,4,44.667,N
15422,AL,5,5,5,3,10.667,N
15423,AL,1,1,1,4,60,N
15424,AL,4,3,4,4,25.333,N
15425,AL,5,3,5,4,31.333,N
15426,AL,5,3,5,5,28.667,N
15429,AL,1,3,1,1,24.667,N
15431,AL,4,4,5,1,18.667,N
15433,AL,3,2,3,4,42.667,N
15434,AL,4,3,5,3,26.667,N
15435,AL,2,1,2,4,52.667,N
15436,AL,3,2,4,4,38,N
15437,AL,4,5,1,4,6.667,N
15440,AL,3,2,5,3,47.333,N
15442,AL,4,3,3,4,31.333,N
15443,AL,3,2,2,5,42.667,N
15445,AL,3,2,2,4,44.667,N
15446,AL,5,4,5,4,20,N
15447,AL,1,3,1,1,26,N
